,Real Name,Birthplace,Date of Birth,Debut,Date of Death,wrestler_name,Weight and Height,Weight,Height
1113,Sean Dunster,"New York City, New York (United States of America)",,,,Massive Damage,255 lbs. (116 kg) at 6'0'' (1.83 m),,
1341,José de Jesús Pantoja Flores,"La Barca, Jalisco (Mexico)",28th April 1958 (age 63),??th September 1980,,Mogur,202 lbs. (92 kg) at 5'9'' (1.75 m),,
1647,Benjamin Bassarab,"Calgary, Alberta (Canada)",3rd March 1960 (age 62),1983,,Ben Bassarab,211 lbs. (96 kg) at 5'10'' (1.78 m),,
2377,unknown,"Anderson, South Carolina (United States of America)",,1984,,Basher,,,
3328,Michael Imburgia,,,,,Tower of Doom,,,
3774,unknown,"Birmingham, West Midlands, England (United Kingdom)",24th July 1985 (age 36),2000,,Jack Storm,232 lbs. (105 kg) at 6'0'' (1.83 m),,
4077,André Jodoin,"Calgary, Alberta (Canada)",23rd January 1959,,29th September 2014,Bill Jodoin,,,
4346,unknown,Guadeloupe,,,,Bobby Gaetano,230 lbs. (104 kg) at 6'0'' (1.83 m),,
5762,unknown,"Birmingham, West Midlands, England (United Kingdom)",6th November 1978 (age 43),1992,,Carnage,248 lbs. (112 kg) at 5'9'' (1.75 m),,
6515,Khalil Gaspard,United States of America,,,,Fabiano Rolento,220 lbs. (100 kg) at 6'0'' (1.83 m),,
8732,Peter R. Miller,"Rochester, New York (United States of America)",2nd September 1961 (age 60),??th August 1980,,Mongolian Mauler,319 lbs. (145 kg) at 6'4'' (1.93 m),,
10105,Julio Barrera,,1967,1987,,Jumbo Baretta,,375 lbs. (170 kg),
11043,Juan Gabriel Zentella Damián,"Villahermosa, Tabasco (Mexico)",9th January 1976,1993,2nd June 2021,Pasión Kristal,,,
15033,unknown,United Kingdom,,,,Jimmy Crash,,,
15862,Charles Daniel Bennett,"Ocala, Florida (United States of America)",23rd November 1979 (age 42),1st September 1999 (22 years ago),,Charles Bennett,155 lbs. (70 kg) at 5'5'' (1.65 m),,
30200,Joshua Bredl,"Denver, Colorado (United States of America)",28th January 1991 (age 31),25th August 2015 (6 years ago),,Bronson Mathews,290 lbs. (132 kg) at 6'7'' (2.01 m),,
29707,Savelina Fanene,"Sydney, New South Wales (Australia)",29th May 1984 (age 37),7th May 2015 (6 years ago),,Lina Fanene ,272 lbs. (123 kg) at 6'0'' (1.83 m),,
730,Felipe Estrada,"Frontera, Tabasco (Mexico)",19th June 1952 (age 69),1972,,El Canek,242 lbs. (110 kg) at 6'0'' (1.83 m),,
33909,David Allen Meltzer,"New York City, New York (United States of America)",24th October 1959 (age 62),,,Dave Meltzer,,,
1760,Michael P. Shaw,"Marquette, Michigan (United States of America)",9th May 1957,14th August 1980 (41 years ago),11th September 2010,Mike Shaw,360 lbs. (163 kg) at 6'1'' (1.85 m),,
273,Jesús Manuel Ortiz Partida,"Tijuana, Baja California (Mexico)",22nd May 1971 (age 50),3rd April 1987 (34 years ago),,Halloween,207 lbs. (94 kg) at 5'9'' (1.75 m),,
151,Alan Funk,"Alliance, Ohio (United States of America)",,??th September 1998,,Chi Chi,220 lbs. (100 kg) at 5'11'' (1.80 m),,
192,Ken Rinehurst,"Atlantic City, New Jersey (United States of America)",,1984,,Jack Victory,320 lbs. (145 kg) at 6'3'' (1.91 m),,
636,Darrell W. Anthony,"Knoxville, Tennessee (United States of America)",12th April 1960 (age 61),??th October 1980,,Dirty White Boy,211 lbs. (96 kg) at 5'9'' (1.75 m),,
220,Dennis Knight,"Orlando, Florida (United States of America)",26th December 1968 (age 53),1988,,Mideon,288 lbs. (131 kg) at 6'3'' (1.91 m),,
207,Jimmy Jaafil,"Los Angeles, California (United States of America)",19th July 1973 (age 48),??th December 1995,,Homeless Jimmy,205 lbs. (93 kg) at 5'10'' (1.78 m),,
2478,unknown,"Berlin, Berlin (Germany)",26th October 1981 (age 40),2001,,Jaxx,264 lbs. (120 kg) at 6'6'' (1.98 m),,
4279,unknown,Mexico,30th June 1977 (age 44),,,Metalika ,,,5'4'' (1.63 m)
6248,unknown,"Perth, Western Australia (Australia)",,1996,,Ashley Hudson,,,
13582,Andrew Inch,"Glenrothes, Fife, Scotland (United Kingdom)",5th September 1988 (age 33),,,Andy Wild,,,
24401,Steve Brauer,"Gera, Thüringen (Germany)",10th September 1984 (age 37),,,Big Steve,287 lbs. (130 kg) at 6'5'' (1.96 m),,
461,Richard C. Williams,"Marietta, Georgia (United States of America)",16th October 1965,1990,23rd February 1999,The Renegade,255 lbs. (116 kg) at 5'10'' (1.78 m),,
16887,MaryKate Duignan Glidewell,"Kissimmee, Florida (United States of America)",17th January 1985 (age 37),2007,,Sage Beckett ,250 lbs. (113 kg) at 6'1'' (1.85 m),,
2508,Eric Esch,"Bay City, Michigan (United States of America)",3rd August 1966 (age 55),,,Eric Esch,415 lbs. (188 kg) at 5'11'' (1.80 m),,
1363,Sylvester Terkay,"Washington, Pennsylvania (United States of America)",4th December 1970 (age 51),1999,,Sylvester Terkay,307 lbs. (139 kg) at 6'6'' (1.98 m),,
1611,Nicholas Cole Mitchell,"Magnolia, Texas (United States of America)",9th November 1982 (age 39),2004,,Nick Mitchell,250 lbs. (113 kg) at 6'2'' (1.88 m),,
1103,Andrew Simmons,"Liss, Hampshire, England (United Kingdom)",21st May 1984 (age 37),20th January 2001 (21 years ago),,Andy Simmonz,206 lbs. (93 kg) at 5'9'' (1.75 m),,
656,Curtis Hughes,"Kansas City, Missouri (United States of America)",7th December 1964 (age 57),1987,,Mr. Hughes,310 lbs. (141 kg) at 6'5'' (1.96 m),,
1211,José Ángel García Paz,Mexico,4th November 1974 (age 47),??th January 1990,,Zumbido,198 lbs. (90 kg) at 5'8'' (1.73 m),,
