,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Date of Death,Weight,Height
24145,unknown,United States of America,,Freek,200 lbs. (91 kg) at 5'10'' (1.78 m),,,,
24146,unknown,Illinois (United States of America),,Virgil Davis,245 lbs. (111 kg) at 6'1'' (1.85 m),,,,
24147,unknown,United States of America,,Lamar Titan,197 lbs. (89 kg) at 6'1'' (1.85 m),,,,
24148,unknown,Illinois (United States of America),,Isaias Velázquez,172 lbs. (78 kg) at 5'7'' (1.70 m),,,,
24149,unknown,United States of America,,Jak Ferrik,,,,,
24150,unknown,Illinois (United States of America),,Ovirload,200 lbs. (91 kg) at 5'9'' (1.75 m),,,,
24151,unknown,"West Chester, Pennsylvania (United States of America)",20th December 1988 (age 33),Jimmy Ray Walker,200 lbs. (91 kg) at 6'2'' (1.88 m),,,,
24152,unknown,United States of America,,Eddie Randle,,,,,
24153,unknown,"Newport Beach, California (United States of America)",,John E. Kash,205 lbs. (93 kg) at 6'2'' (1.88 m),,,,
24154,unknown,Illinois (United States of America),,Amazing Kuan,265 lbs. (120 kg) at 5'8'' (1.73 m),,,,
24155,unknown,Illinois (United States of America),,Tunica,,,,,
24156,unknown,United States of America,,Machine,,,,,
24157,unknown,United States of America,,Hunter Paine,,,,,
24158,unknown,United States of America,,Matthias Kelevra,,,,,
24159,unknown,United States of America,,Juggalo J-City,,,,,
24160,unknown,United States of America,,Frankie Valiant,,,,,
24161,unknown,United States of America,,Cedric Keys,,,,,
24162,unknown,"Cicero, Illinois (United States of America)",27th November 1985 (age 36),Jordan Pryde,,,,,
24163,unknown,,,Lee Valiant,,,,,
24164,unknown,,,Sumo Libre,,,,,
24165,unknown,,,Thomas Sinclair,,,,,
24166,unknown,United States of America,,Cyanide,,,,,
24167,unknown,"Chicago, Illinois (United States of America)",,Joey Marx,,,,,
24168,Edwin Ramos,Maricao (Puerto Rico),15th February 1958,Puño De Hierro,,1975,17th August 1988,,
24169,unknown,"Bluffton, Indiana (United States of America)",,Mark Vandy,200 lbs. (91 kg) at 6'4'' (1.93 m),16th September 2011 (10 years ago),,,
24170,unknown,United States of America,,Hailey Rose ,,,,,
24171,unknown,"Wyandotte, Michigan (United States of America)",15th May 1981 (age 40),Randi West ,,??th September 2002,,,
24172,unknown,"Georgetown, Kentucky (United States of America)",23rd March 1982 (age 39),Maxx Sledd,,,,,6'0'' (1.83 m)
24173,Chris Corman,United States of America,,Chris Hayes,,,,,
24174,unknown,Nuevo León (Mexico),,Suzuki ,,,,,
24175,unknown,"Columbus, Ohio (United States of America)",10th May 1989 (age 32),Devin Daniels,175 lbs. (79 kg) at 5'8'' (1.73 m),2011,,,
24176,unknown,Nuevo León (Mexico),,La Rockera ,,,,,
