,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Height,Weight
4061,Beulah Mae Combs,138 lbs. (63 kg) at 5'5'' (1.65 m),"Hazard, Kentucky (United States of America)",17th March 1927,1945,Cora Combs ,21st June 2015,,
4062,unknown,,,,,Jan Leskinowitsch,,,
4063,Orville Lee Carlson,,,1923,,Cowboy Carlson,11th July 1996,,
4064,Harold R. Lang,,,1950,,Cowboy Lang,4th January 2007,,
4065,Clarence Preston Luttrall,235 lbs. (107 kg) at 5'11'' (1.80 m),"Jacksboro, Texas (United States of America)",27th March 1906,,Cowboy Luttrall,11th March 1980,,
4066,Burton Caswell Williams,200 lbs. (91 kg) at 6'0'' (1.83 m),"Canoe, Alabama (United States of America)",12th October 1903,,Cy Williams,28th September 1965,,
4067,Jesús Becerra Valencia,220 lbs. (100 kg) at 6'2'' (1.88 m),"Guadalajara, Jalisco (Mexico)",1st August 1917,,Cyclone Anaya,4th January 1999,,
4068,unknown,386 lbs. (175 kg) at 6'4'' (1.93 m),Belgium,,,Jean Louis Breston,XXXX,,
4070,unknown,,,,,Larry Anson,,,
4075,unknown,230 lbs. (104 kg) at 5'11'' (1.80 m),Germany,3rd May 1937 (age 84),1960,Eric Froelich,,,
4081,unknown,230 lbs. (104 kg) at 5'10'' (1.78 m),,,,Jacob Ladder,,,
4082,unknown,423 lbs. (192 kg) at 6'2'' (1.88 m),"Marion, Indiana (United States of America)",20th April ???,1992,Jayson Maples,,,
4083,unknown,,,,,Sammy George,,,
4084,unknown,,,,,Georgeous Lemperopoulos,,,
4087,Vasel Nenoff Tsakoff,190 lbs. (86 kg) at 5'10'' (1.78 m),Bulgaria,28th September 1901,,Tiger Nenoff Tsakoff,20th March 1965,,
4088,unknown,,,,,Jackie LaRue ,,,
4089,unknown,,,,,Charlie Rowell,,,
4090,Herbert William Schultz,192 lbs. (87 kg) at 6'0'' (1.83 m),"Brenham, Texas (United States of America)",24th January 1908,,Herbert Schultz,3rd December 1980,,
4091,Louis LaCourse,,"Holyoke, Massachusetts (United States of America)",,,Duke Savage,,,
4092,Don Leeds,260 lbs. (118 kg) at 6'4'' (1.93 m),,,,Don McClarity,,,
4093,Donald Lee,,,1913,,Don Lee,3rd October 1965,,
4095,Donald Edward Gaston,,"Cleveland, Tennessee (United States of America)",20th September 1934,1964,Don Carson,14th March 2013,,
4096,unknown,,,,,Doll Paige ,,,
4097,unknown,,,,,Jimmy Poole,,,
4098,Horace Whaley Lanford,,Georgia (United States of America),10th December 1898,,Doc Langford,XXXX,,
4099,Thomas William Langford,,"Portsmouth, Hampshire, England (United Kingdom)",26th December 1987 (age 34),,Tommy Langford,,5'11'' (1.80 m),
4100,Sterling Blake Davis,190 lbs. (86 kg) at 5'9'' (1.75 m),"Houston, Texas (United States of America)",8th November 1914,,Dizzy Davis,19th December 1983,,
4101,unknown,,,,,Dixie Jordan ,,,
4102,Nicholas Jacob De Wiscourt,,"Ellensburg, Washington (United States of America)",11th June 1888,,Dick Daviscourt,24th January 1960,,
4103,Richard P. LoGalbo,,"Buffalo, New York (United States of America)",3rd June 1939,,Dick Bison,5th September 2021,,
4122,Jamie Potts,201 lbs. (91 kg) at 5'10'' (1.78 m),"London, Greater London, England (United Kingdom)",22nd August 1977 (age 44),20th January 2001 (21 years ago),JP Monroe,,,
4125,Dustin Thomas,260 lbs. (118 kg) at 6'6'' (1.98 m),"Franklin, Ohio (United States of America)",2nd August 1985 (age 36),16th April 2004 (17 years ago),Dustin Thomas,,,
