,Real Name,Birthplace,Date of Birth,wrestler_name,Weight and Height,Debut,Height,Date of Death,Weight
20153,unknown,Guerrero (Mexico),,Infierno,,,,,
20154,unknown,"Ciudad de México, Ciudad de México (Mexico)",3rd May 1993 (age 28),Artikus,,,,,
20155,unknown,"Tulancingo de Bravo, Hidalgo (Mexico)",9th February 1995 (age 27),Rocky Lobo,163 lbs. (74 kg) at 5'7'' (1.70 m),2007,,,
20156,unknown,Mexico,16th January 1986 (age 36),Mini Escoria,,,,,
20157,unknown,"Ciudad de México, Ciudad de México (Mexico)",30th July 1989 (age 32),Sepulcro Jr.,165 lbs. (75 kg) at 6'0'' (1.83 m),19th November 2009 (12 years ago),,,
20158,unknown,"Ciudad de México, Ciudad de México (Mexico)",,Pachuco López,,,,,
20159,unknown,"Ciudad de México, Ciudad de México (Mexico)",,Eddie el Hechicero,,,,,
20161,unknown,"Ciudad de México, Ciudad de México (Mexico)",,El Gallo de Plata,,,,,
20162,unknown,"Ciudad de México, Ciudad de México (Mexico)",,El Águila del Sur,,,,,
20163,Noé Saldaña Rosas,Guanajuato (Mexico),1982,Cosmos Dos Mil,,2003,,,
20164,unknown,Nuevo León (Mexico),,El Ángel del Silencio,,,,,
20165,unknown,Zacatecas (Mexico),,Relámpago,,,,,
20167,unknown,,27th September ???,Alejandro,255 lbs. (116 kg) at 6'1'' (1.85 m),17th April 2009 (12 years ago),,,
20168,unknown,"Hamatonbetsu, Hokkaido (Japan)",9th May 1979 (age 42),Yuiga ,146 lbs. (66 kg) at 5'2'' (1.57 m),2000,,,
20172,Naoito Shimitsu ,"Takatsuki, Osaka (Japan)",6th May 1966,Naoito Shimitsu ,210 lbs. (95 kg) at 5'9'' (1.75 m),26th October 1992 (29 years ago),,8th January 1993,
20173,unknown,,3rd November 1962 (age 59),Akihiko Mikata,183 lbs. (83 kg) at 5'11'' (1.80 m),12th September ???,,,
20176,unknown,,,Great Cerenzio,,,,,
20177,Yuji Sugawara,,8th September 1971 (age 50),Yuji Sugawara,207 lbs. (94 kg) at 5'9'' (1.75 m),,,,
20178,Takashi Sato,"Nasukarasuyama, Tochigi (Japan)",22nd March 1974 (age 47),Takashi Sato,187 lbs. (85 kg) at 5'11'' (1.80 m),13th September 1995 (26 years ago),,,
20179,unknown,,,Walford,,,,,
20182,Hideki Ogiso,Gifu (Japan),27th December 1971 (age 50),Hideki Ogiso,200 lbs. (91 kg) at 5'7'' (1.70 m),,,,
20184,Ken'ichiro Yukimura,"Yatsushiro, Kumamoto (Japan)",28th August 1964 (age 57),Kenshiro Yukimura,209 lbs. (95 kg) at 5'7'' (1.70 m),1992,,,
20185,Masahiro Hashibe,Kumamoto (Japan),5th May 1965 (age 56),Masahiro Hashibe,200 lbs. (91 kg) at 5'8'' (1.73 m),,,,
20188,unknown,,,Kiri no Saizo,205 lbs. (93 kg) at 6'0'' (1.83 m),22nd February 1995 (27 years ago),,,
20189,Dick Corcoran,,,Dick Corcoran,240 lbs. (109 kg) at 6'4'' (1.93 m),,,,
20190,unknown,"Tulsa, Oklahoma (United States of America)",19th October ???,Robbie Awesome,165 lbs. (75 kg) at 5'7'' (1.70 m),2010,,,
20191,unknown,Arkansas (United States of America),24th September ???,Kai Fayden,150 lbs. (68 kg) at 5'6'' (1.68 m),24th September 2010 (11 years ago),,,
20193,David Nevins,"Kansas City, Missouri (United States of America)",,Dave Nevins,,,,,
20195,Tsuyoshi Okamoto,Kyoto (Japan),16th December 1963 (age 58),Bruiser Okamoto,265 lbs. (120 kg) at 6'3'' (1.91 m),,,,
20198,Yukimasa Watanabe,"Fujikawaguchiko, Yamanashi (Japan)",1st September 1966 (age 55),Sad Genius,230 lbs. (104 kg) at 6'0'' (1.83 m),13th February 1992 (30 years ago),,,
20199,Kazutoshi Hisada,,2nd January 1969 (age 53),Cannonball KAZU,198 lbs. (90 kg) at 5'9'' (1.75 m),,,,
20201,Yuki Nishino,"Tokyo, Tokyo (Japan)",5th November 1972 (age 49),Yuki Nishino,188 lbs. (85 kg) at 5'5'' (1.65 m),26th March 1994 (27 years ago),,,
20202,Tsuyoshi Watanabe,Niigata (Japan),27th August 1965 (age 56),Go Narumi,154 lbs. (70 kg) at 6'1'' (1.85 m),29th September 1990 (31 years ago),,,
