,Real Name,Weight and Height,Birthplace,wrestler_name,Debut,Height,Date of Birth,Date of Death,Weight
26900,unknown,201 lbs. (91 kg) at 5'9'' (1.75 m),Oklahoma (United States of America),Satchel Reigns,1993,,20th December ???,,
26901,unknown,175 lbs. (79 kg) at 5'7'' (1.70 m),"Sapulpa, Oklahoma (United States of America)",Clint Cassidy,2010,,12th July ???,,
26902,unknown,,Mexico,Sunya ,,,,,
26903,unknown,,Mexico,Jenny ,,,,,
26904,unknown,,Mexico,Alicia ,,,,,
26905,unknown,,Mexico,Ysabella ,,,,,
26906,unknown,,United States of America,Albert Einstein Baxter II.,,,,,186 lbs. (84 kg)
26907,unknown,,,Brock Burke,,,,,
26908,unknown,,"Kitami, Hokkaido (Japan)",Chin'nen Hokkai,,,,,
26910,unknown,215 lbs. (98 kg) at 5'8'' (1.73 m),"Titusville, Pennsylvania (United States of America)",Rocky Reynolds,??th May 2000,,,,
26911,unknown,,,Hal Masem,,,,,
26913,Tarron Coalson,,,Bam Bam Coalson,,,1st April 1965 (age 56),,
26914,Mohamed Azzaoui,207 lbs. (94 kg) at 6'2'' (1.88 m),Mostaganem (Algeria),Mohamed Azzaoui,14th October 2001 (20 years ago),,1st December 1975 (age 46),,
26915,Amir Rahnavardi,185 lbs. (84 kg) at 6'1'' (1.85 m),"Irvine, California (United States of America)",Amir Rahnavardi,,,12th July 1974 (age 47),,
26916,Steven Balla,207 lbs. (94 kg) at 5'11'' (1.80 m),"Santa Clara, California (United States of America)",Kimo,,,,,
26918,unknown,215 lbs. (98 kg) at 5'11'' (1.80 m),,Pete Christie,7th December 1991 (30 years ago),,,,
26922,unknown,,"Dallas, Texas (United States of America)",Jerome Daniels,,6'4'' (1.93 m),1984,,
26923,Salvatore Greco,270 lbs. (122 kg) at 6'2'' (1.88 m),"Melbourne, Victoria (Australia)",Sam Greco,,,3rd May 1967 (age 54),,
26924,unknown,,"Lake Charles, Louisiana (United States of America)",Jamey Farrari ,2010,,14th April 1988 (age 33),,
26925,unknown,,"Nashville, Tennessee (United States of America)",Shawn Hoodrich,,,1986,,
26926,unknown,251 lbs. (114 kg) at 6'1'' (1.85 m),Tennessee (United States of America),Eric Hodge,,,,,
26927,unknown,,"Murfreesboro, Tennessee (United States of America)",Psycho Medic,,,1968,,
26933,unknown,125 lbs. (57 kg) at 5'0'' (1.52 m),"Ardmore, Oklahoma (United States of America)",Mandy ,,,,,
26934,unknown,125 lbs. (57 kg) at 5'5'' (1.65 m),"Branson, Missouri (United States of America)",Tasha ,2007,,18th July ???,,
26935,unknown,250 lbs. (113 kg) at 5'9'' (1.75 m),"New Orleans, Louisiana (United States of America)",Menace 2 Society,??th June 1996,,9th November 1975 (age 46),,
26936,unknown,,United States of America,Nathan Phoenix,,,,,
26937,Kevin White,,United States of America,Kevin,,,,,
26938,unknown,,United States of America,Death Row,,,,,
26939,unknown,,United States of America,Irish Extreme,,,,,
26940,unknown,,"Otsu, Shiga (Japan)",Saori Anou ,,5'3'' (1.60 m),1st February 1991 (age 31),,
26941,unknown,,United States of America,Chris Brackin,,,,,
26942,unknown,,United States of America,Dirty Dawg,,,,,
26943,unknown,,United States of America,CB Slade,,,,,
26944,unknown,,United States of America,Player,,,,,
26945,unknown,,,Vintage Mac,,,,,
26946,unknown,,United States of America,Hexx,,,,,
26947,unknown,,United States of America,Dustin Michaels,,,,,
26948,unknown,,,Ramona Waukazo ,,,,,
26949,unknown,,,Delores DeWitt ,,,,,
26951,unknown,280 lbs. (127 kg) at 6'4'' (1.93 m),New York (United States of America),Back Stabber,,,,,
26952,unknown,,"Athens, Georgia (United States of America)",Tommy Greco,,,,,140 lbs. (64 kg)
26953,Sachie Nishibori,115 lbs. (52 kg) at 5'0'' (1.52 m),"Yokohama, Kanagawa (Japan)",Sachie Nishibori,1995,,30th July 1978 (age 43),,
26956,Jay Sulli,,United States of America,Jay Sulli,,,,,
26957,Steve Truitt,,United States of America,Stevie Wonderful,,,,,
26958,Kei Akiyama,126 lbs. (57 kg) at 5'5'' (1.65 m),Gunma (Japan),Vancouver Cat ,7th December 2002 (19 years ago),,15th December 1976 (age 45),,
26963,unknown,,,Bill Brookshire,,,,,
26964,unknown,,United States of America,El Culo Intruso ,29th September 2007 (14 years ago),5'10'' (1.78 m),,,
26965,unknown,,United States of America,Hado,,,,,
26966,unknown,270 lbs. (122 kg) at 5'7'' (1.70 m),United States of America,Roberto Romero,24th August 2012 (9 years ago),,19th April ???,,
26967,unknown,240 lbs. (109 kg) at 6'0'' (1.83 m),"Verdigris, Oklahoma (United States of America)",Psycho Sawyer,10th November 2012 (9 years ago),,13th May 1970 (age 51),,
