,Real Name,Weight and Height,Birthplace,wrestler_name,Debut,Height,Date of Birth,Date of Death,Weight
28129,unknown,120 lbs. (54 kg) at 5'6'' (1.68 m),"Niagara Falls, Ontario (Canada)",Skylar Rose ,2013,,,,
28130,unknown,,"Pittsburgh, Pennsylvania (United States of America)",Mario Bryant,,,,,225 lbs. (102 kg)
28131,unknown,,Ontario (Canada),Yves Drouin,,,,,250 lbs. (113 kg)
28132,unknown,,"Ottawa, Ontario (Canada)",Jeff Fury,,,,,200 lbs. (91 kg)
28133,unknown,,Yukon (Canada),Crimson X,,,,,180 lbs. (82 kg)
28134,unknown,,"Toronto, Ontario (Canada)",Jack Rushton,,,,,205 lbs. (93 kg)
28135,unknown,,,Zeddy Breeze,,,,,205 lbs. (93 kg)
28136,Aaron E. Nunes,,"Toronto, Ontario (Canada)",Eddie Sapalucci,,,,,
28137,unknown,,,Joshua James,,,,,
28139,unknown,,Canada,Ned Tyson,,,,,
28140,unknown,,"Pickering, Ontario (Canada)",Will White,,,20th November 1984 (age 37),,
28144,Julio S. Barrientez,,"Runge, Texas (United States of America)",Julio Barrientez,,,19th June 1939,26th March 2013,
28145,Thomas David Barbola,,"Milwaukee, Wisconsin (United States of America)",Tom Barbola,,,8th October 1928,3rd February 2014,
28147,Raquel Arijón,147 lbs. (67 kg) at 5'1'' (1.55 m),"A Coruña, Galicia (Spain)",Dragonita,3rd April 2011 (10 years ago),,,,
28148,Jon Kocel,311 lbs. (141 kg) at 6'5'' (1.96 m),United Kingdom,Revolution Titan,,,,,
28153,unknown,,"Johnstown, Pennsylvania (United States of America)",Fred Flash,,,15th February 1982 (age 40),,
28154,Paul Fabian,216 lbs. (98 kg) at 5'10'' (1.78 m),"Reading, Pennsylvania (United States of America)",Paul Atlas,1990,,2nd August ???,,
28155,unknown,,,Scourge,,,,,
28159,unknown,,"Roanoke, Virginia (United States of America)",Aric Andrews,,,,,
28160,unknown,,United States of America,Evan Banks,,,,,
28161,unknown,195 lbs. (88 kg) at 6'1'' (1.85 m),"Raleigh, North Carolina (United States of America)",Chet Sterling,??th October 2012,,,,
28164,unknown,200 lbs. (91 kg) at 5'10'' (1.78 m),"Greensboro, North Carolina (United States of America)",Chris Lea,19th August 2012 (9 years ago),,,,
28165,unknown,215 lbs. (98 kg) at 6'0'' (1.83 m),"Reidsville, North Carolina (United States of America)",LaBron Kozone,4th June 2011 (10 years ago),,,,
28167,unknown,,,Marcellus King,,,,,
28168,unknown,,,Roy Wilkins,,,,,
28169,unknown,395 lbs. (179 kg) at 6'4'' (1.93 m),"Winston-Salem, North Carolina (United States of America)",Aaron Biggs,7th March 2013 (9 years ago),,,,
28170,unknown,,"Roanoke, Virginia (United States of America)",Matthew de Nero,,,,,
28171,unknown,,"Stevens Point, Wisconsin (United States of America)",Mitch Connor,,5'10'' (1.78 m),5th July 1987 (age 34),,
28172,unknown,,,The Mecha Mercenary,,,,,
28173,unknown,,"Henderson, North Carolina (United States of America)",Michael McAllister,,,1979,,
28174,unknown,,Jalisco (Mexico),William Rock,,,,,
28175,unknown,,Mexico,Meteoro,,,,,
28176,Bradford Gillis,,Prince Edward Island (Canada),Bradford Montague,,,28th October 1991 (age 30),,
28177,Alexia Nicole Romano,103 lbs. (47 kg) at 4'11'' (1.50 m),"Vaughan, Ontario (Canada)",Alexia Nicole,2013,,15th April 1996 (age 25),,
28178,unknown,205 lbs. (93 kg) at 6'2'' (1.88 m),"Toronto, Ontario (Canada)",Trent Gibson,??th November 2013,,3rd July 1991 (age 30),,
28179,unknown,165 lbs. (75 kg) at 5'8'' (1.73 m),"Port Hope, Ontario (Canada)",Vaughn Vertigo,20th July 2013 (8 years ago),,4th December 1995 (age 26),,
28180,unknown,,"Toronto, Ontario (Canada)",Channing Decker,,,26th August 1988 (age 33),,
28181,unknown,165 lbs. (75 kg) at 6'0'' (1.83 m),,El Hijo del Bigote,,,,,
28182,unknown,,"Tlalnepantla de Baz, Estado de México (Mexico)",Gabriel Fuerza,,,13th August 1993 (age 28),,
28183,unknown,,,Don Flasnick,1937,,,,
28184,David Schermerhorn,250 lbs. (113 kg) at 6'2'' (1.88 m),Kansas (United States of America),David Delorean,,,,,
28185,unknown,233 lbs. (106 kg) at 6'1'' (1.85 m),"Dodge City, Kansas (United States of America)",Michael Magnuson,,,,,
28186,Devyn Daniels,150 lbs. (68 kg) at 5'9'' (1.75 m),"New York City, New York (United States of America)",Devyn Nicole ,23rd February 2013 (9 years ago),,29th May ???,,
28187,unknown,230 lbs. (104 kg) at 6'1'' (1.85 m),"Richmond, Missouri (United States of America)",John E. Rock,13th April 2013 (8 years ago),,,,
28188,Dustin Raynor,220 lbs. (100 kg) at 5'10'' (1.78 m),"Fort Gibson, Oklahoma (United States of America)",Dustin Bozworth,2008,,20th September 1984 (age 37),,
28189,Ryu Nakata,185 lbs. (84 kg) at 5'6'' (1.68 m),"Tokyo, Tokyo (Japan)",Ryu Nakata,2nd April 1980 (41 years ago),,14th March 1962,15th February 2014,
28190,unknown,121 lbs. (55 kg) at 5'1'' (1.55 m),Mexico,Angelito,,,30th August 1995 (age 26),,
28191,unknown,,Baja California (Mexico),Ángel Negro,,,,,
28192,unknown,,"Edmonton, Alberta (Canada)",Kurt Sorochan,,,19th February ???,,
28193,unknown,,Illinois (United States of America),Paige Turner ,,,,,
28194,Paul L. George,,,Pinkie George,,,,1st November 1993,
28195,Patrick Cummins,205 lbs. (93 kg) at 6'2'' (1.88 m),"Doylestown, Pennsylvania (United States of America)",Patrick Cummins,4th December 2010 (11 years ago),,,,
28196,Pedro Munhoz,135 lbs. (61 kg) at 5'6'' (1.68 m),"São Paulo, São Paulo (Brazil)",Pedro Munhoz,21st March 2009 (12 years ago),,7th September 1986 (age 35),,
28197,Aljamain Sterling,135 lbs. (61 kg) at 5'7'' (1.70 m),New York (United States of America),Aljamain Sterling,22nd April 2011 (10 years ago),,31st July 1989 (age 32),,
28198,Cody Gibson,135 lbs. (61 kg) at 5'10'' (1.78 m),Oklahoma (United States of America),Cody Gibson,27th July 2008 (13 years ago),,,,
28199,Ernest Chavez,155 lbs. (70 kg) at 5'8'' (1.73 m),California (United States of America),Ernest Chavez,13th June 2009 (12 years ago),,,,
28200,Yosdenis Cedeno,155 lbs. (70 kg) at 5'8'' (1.73 m),La Habana (Cuba),Yosdenis Cedeno,20th February 2009 (13 years ago),,12th February 1988 (age 34),,
28201,unknown,245 lbs. (111 kg) at 5'11'' (1.80 m),Canada,Steve Royds,,,,,
28202,unknown,,,Quentin,,,,,
28204,Anthony Velvet Hall,216 lbs. (98 kg) at 6'0'' (1.83 m),"Newark, New Jersey (United States of America)",Velvet Jones,,,25th April ???,,
28205,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Princesa Mitzy ,??th July 2009,,20th November ???,,
28206,unknown,110 lbs. (50 kg) at 4'9'' (1.45 m),"Naucalpan, Estado de México (Mexico)",Lady Dragon ,10th December 2013 (8 years ago),,30th September ???,,
28207,unknown,132 lbs. (60 kg) at 5'6'' (1.68 m),"Ciudad de México, Ciudad de México (Mexico)",Mosha Dark ,2012,,29th March ???,,
28208,unknown,,"San Nicolás de los Garza, Nuevo León (Mexico)",Ángel Justiciero,,,2nd July ???,,
28210,unknown,123 lbs. (56 kg) at 5'1'' (1.55 m),"Apodaca, Nuevo León (Mexico)",Pumita Star ,24th June 2013 (8 years ago),,22nd May 1998 (age 23),,
28211,Steven Berberovic,,"Hamilton, Ontario (Canada)",Igor Sonovavich,2007,,,,
28212,unknown,,"Charleston, South Carolina (United States of America)",Sierra Rose ,,,23rd May ???,,
28213,unknown,,,Donovan Jack O'Shea,,,,,
28214,unknown,198 lbs. (90 kg) at 5'5'' (1.65 m),Canada,Danger Boy,,,,,
28215,unknown,425 lbs. (193 kg) at 6'6'' (1.98 m),,Jake LeDuc,,,,,
28216,unknown,183 lbs. (83 kg) at 6'2'' (1.88 m),"Salt Lake City, Utah (United States of America)",Zack James,??th August 2009,,20th August 1991 (age 30),,
28217,unknown,235 lbs. (107 kg) at 6'4'' (1.93 m),"Molalla, Oregon (United States of America)",Ian W. Sutton,2007,,23rd September 1980 (age 41),,
28218,unknown,,"London, Ontario (Canada)",CK Savage,,,,,
28221,unknown,,"Las Vegas, Nevada (United States of America)",Allie Parker ,,,,,
28223,unknown,,"Binghamton, New York (United States of America)",Josh Hess,,,20th April 1989 (age 32),,
28224,unknown,176 lbs. (80 kg) at 5'7'' (1.70 m),Georgia (United States of America),Jason Cade,,,,,
28225,unknown,,"St. Petersburg, Florida (United States of America)",Heather Lynn ,,,24th October ???,,
28226,Ernie Valdes,216 lbs. (98 kg) at 5'9'' (1.75 m),"Miami, Florida (United States of America)",ERA,,,,,
28227,Kent Wilson,,"Lake Arrowhead, California (United States of America)",Eccentric Lion,,,,,
28228,Todd Higa,,"Honolulu, Hawaii (United States of America)",Tristan Keali'i,,,1st July 1982 (age 39),,
28229,unknown,,United States of America,Willie Brown,,,,,
28231,James Cooper,229 lbs. (104 kg) at 5'10'' (1.78 m),Tennessee (United States of America),Kerry Awful,,,29th December 1985 (age 36),,
28232,unknown,212 lbs. (96 kg) at 6'1'' (1.85 m),South Carolina (United States of America),Joey Mayberry,20th December 2013 (8 years ago),,5th July 1990 (age 31),,
28233,unknown,255 lbs. (116 kg) at 6'5'' (1.96 m),"New York City, New York (United States of America)",Rhett Giddins,21st July 2013 (8 years ago),,,,
28234,unknown,,"Orlando, Florida (United States of America)",Lizzie Parris ,,,,,
28236,Mikala Smith,,"Lubbock, Texas (United States of America)",Samantha Starr ,,,,,
28237,unknown,,"La Marque, Texas (United States of America)",Nate Laws,,,2nd December 1979 (age 42),,
28238,unknown,,"Pocatello, Idaho (United States of America)",Jason Jaxon,,,8th December 1986 (age 35),,
28239,Jean Baigue,,"West Jordan, Utah (United States of America)",Jason Bravo,,,15th May 1986 (age 35),,
28240,unknown,258 lbs. (117 kg) at 6'1'' (1.85 m),"Springfield, Illinois (United States of America)",Bryan Ealey,2005,,29th July 1983 (age 38),,
28244,Marli Paige,130 lbs. (59 kg) at 5'0'' (1.52 m),United States of America,Kiera Nova ,??th May 2010,,31st May 1994 (age 27),,
28245,Robert Thompson,265 lbs. (120 kg) at 6'2'' (1.88 m),"Mississauga, Ontario (Canada)",Rob Rage,,,,,
28247,unknown,,"Markinch, Fife, Scotland (United Kingdom)",Tom Fulton,,,,,
28250,Christina Green,121 lbs. (55 kg) at 5'6'' (1.68 m),"Jonesboro, Arkansas (United States of America)",Nina Monet ,2011,,27th February 1988 (age 34),,
28251,unknown,208 lbs. (94 kg) at 5'11'' (1.80 m),Massachusetts (United States of America),Matt Macintosh,,,,,
28252,unknown,,Texas (United States of America),Stan Summers,22nd February 2007 (15 years ago),,2nd October 1981 (age 40),,
28253,unknown,165 lbs. (75 kg) at 5'10'' (1.78 m),"Old Bethpage, New York (United States of America)",Joey Silver,2013,,,,
28254,unknown,290 lbs. (132 kg) at 6'2'' (1.88 m),"Kenilworth, New Jersey (United States of America)",Nicholas Sohlo,21st January 2007 (15 years ago),,16th May 1987 (age 34),,
28255,unknown,,,Pepper Torres ,,,,,
28256,unknown,,,Daniel Adonis,,,30th September 1987 (age 34),,
28263,Mark Eddiva,145 lbs. (66 kg) at 5'8'' (1.73 m),Philippines,Mark Eddiva,15th April 2006 (15 years ago),,16th February 1986 (age 36),,
28264,Jumabieke Tuerxun,135 lbs. (61 kg) at 5'6'' (1.68 m),Shaanxi (China),Jumabieke Tuerxun,8th February 2009 (13 years ago),,17th April 1986 (age 35),,
28265,unknown,,,Albert Cheng,16th April 2010 (11 years ago),,,,155 lbs. (70 kg)
28266,unknown,,Mongolia,Anying Wang,18th May 2013 (8 years ago),,,,170 lbs. (77 kg)
28267,unknown,155 lbs. (70 kg) at 5'9'' (1.75 m),South Korea,Yui Chul Nam,11th February 2006 (16 years ago),,16th July 1981 (age 40),,
28268,unknown,170 lbs. (77 kg) at 5'11'' (1.80 m),China,Lipeng Zhang,18th April 2009 (12 years ago),,10th March 1990 (age 32),,
28269,unknown,170 lbs. (77 kg) at 6'0'' (1.83 m),"Běijīng, Běijīng (China)",Wang Sai,22nd March 2009 (12 years ago),,16th January 1986 (age 36),,
28270,unknown,146 lbs. (66 kg) at 5'8'' (1.73 m),"Grosny, Tschetschenskaja (Russia)",Zubaira Tukhugov,10th March 2010 (12 years ago),,15th January 1991 (age 31),,
28271,unknown,145 lbs. (66 kg) at 5'7'' (1.70 m),"Castanhal, Pará (Brazil)",Douglas Silva de Andrade,11th May 2007 (14 years ago),,22nd June 1985 (age 36),,
28272,unknown,169 lbs. (77 kg) at 5'11'' (1.80 m),Russia,Albert Tumenov ,13th February 2010 (12 years ago),,26th December 1991 (age 30),,
28273,unknown,156 lbs. (71 kg) at 5'9'' (1.75 m),"London, Ontario (Canada)",Jesse Ronson,20th November 2009 (12 years ago),,24th December 1985 (age 36),,
28274,unknown,155 lbs. (70 kg) at 5'10'' (1.78 m),"Florianópolis, Santa Catarina (Brazil)",Ivan Jorge,30th June 2001 (20 years ago),,7th November 1980 (age 41),,
28275,unknown,170 lbs. (77 kg) at 6'0'' (1.83 m),"Stockholm, Stockholms (Sweden)",Nicholas Musoke,2nd April 2005 (16 years ago),,5th April 1986 (age 35),,
28276,unknown,170 lbs. (77 kg) at 6'0'' (1.83 m),São Paulo (Brazil),Viscardi Andrade,6th May 2006 (15 years ago),,8th March 1984 (age 38),,
28277,Zane Frazier,230 lbs. (104 kg) at 6'6'' (1.98 m),"Phoenix, Arizona (United States of America)",Zane Frazier,12th November 1993 (28 years ago),,16th July 1966 (age 55),,
28278,unknown,207 lbs. (94 kg) at 6'4'' (1.93 m),Riga (Latvia),Yuri Vaulin,27th July 1997 (24 years ago),,13th September 1963 (age 58),,
28279,unknown,203 lbs. (92 kg) at 6'3'' (1.91 m),"San Diego, California (United States of America)",Aaron Brink,8th December 1998 (23 years ago),,12th November 1974 (age 47),,
28280,unknown,171 lbs. (78 kg) at 5'9'' (1.75 m),"Montréal, Quebec (Canada)",Alex García,28th August 2009 (12 years ago),,14th July 1987 (age 34),,
28281,unknown,195 lbs. (88 kg) at 6'2'' (1.88 m),"Louisville, Kentucky (United States of America)",Alex Stiebling,3rd April 1999 (22 years ago),,26th December 1976 (age 45),,
28282,Alexandre Dantas,238 lbs. (108 kg) at 6'2'' (1.88 m),"Río de Janeiro, Río de Janeiro (Brazil)",Alexandre Dantas,22nd September 2000 (21 years ago),,3rd January 1979 (age 43),,
28283,unknown,125 lbs. (57 kg) at 5'5'' (1.65 m),Turkey,Alptekin Ozkilic,27th November 2010 (11 years ago),,27th March 1986 (age 35),,
28284,unknown,155 lbs. (70 kg) at 5'8'' (1.73 m),"Biddeford, Maine (United States of America)",Allen Berube,2nd June 2006 (15 years ago),,25th April 1978 (age 43),,
28285,unknown,148 lbs. (67 kg) at 5'2'' (1.57 m),"Ciudad de México, Ciudad de México (Mexico)",Pegazus,17th December 2006 (15 years ago),,9th September 1990 (age 31),,
28286,unknown,198 lbs. (90 kg) at 6'1'' (1.85 m),"Mexicali, Baja California (Mexico)",El Hijo del Rey Misterio,,,,,
28287,unknown,,"Ciudad de México, Ciudad de México (Mexico)",Sky Fly,,,26th July 1995 (age 26),,
28288,John Elias Almenas,245 lbs. (111 kg) at 6'1'' (1.85 m),United States of America,Ultimate Security,,,,,
28290,unknown,209 lbs. (95 kg) at 5'11'' (1.80 m),"Lübeck, Schleswig-Holstein (Germany)",Edwin Feldt,,,,,
28291,unknown,,Hidalgo (Mexico),Malandro,,,,,
28292,Robin S. Aldridge,,"Mobile, Alabama (United States of America)",Bob Aldridge,,,12th October 1922,30th July 1969,
28293,unknown,,,Major Jens Himmler,,,,,
28294,unknown,220 lbs. (100 kg) at 5'10'' (1.78 m),"Guadalajara, Jalisco (Mexico)",Crazy King,2nd March 2012 (10 years ago),,27th May 1995 (age 26),,
28295,James Faulkner,135 lbs. (61 kg) at 5'4'' (1.63 m),"Manchester, Greater Manchester, England (United Kingdom)",James Faulkner,,,1st May 1857,XXXX,
28296,unknown,170 lbs. (77 kg) at 6'1'' (1.85 m),"Brasília, Distrito Federal (Brazil)",Igor Araujo,17th December 2005 (16 years ago),,6th December 1980 (age 41),,
28297,unknown,125 lbs. (57 kg) at 5'6'' (1.68 m),"Dublin, Dublin (Ireland)",Neil Seery,15th October 2005 (16 years ago),,30th August 1979 (age 42),,
28298,unknown,185 lbs. (84 kg) at 5'11'' (1.80 m),"Rondonópolis, Mato Grosso (Brazil)",Claudio Henrique Da Silva,10th November 2007 (14 years ago),,6th September 1982 (age 39),,
28299,unknown,170 lbs. (77 kg) at 6'0'' (1.83 m),"Machatschkala, Dagestan (Russia)",Omari Akhmedov,9th July 2010 (11 years ago),,12th October 1987 (age 34),,
28300,Erich Mathias Mayer ,,Steiermark (Austria),Hias,11th June 1994 (27 years ago),,3rd November 1950,7th July 2007,
28301,unknown,185 lbs. (84 kg) at 6'1'' (1.85 m),"Helsingborg, Skåne (Sweden)",Mats Nilsson,10th May 2008 (13 years ago),,5th December 1983 (age 38),,
28302,Danny Mitchell,170 lbs. (77 kg) at 6'2'' (1.88 m),"Doncaster, South Yorkshire, England (United Kingdom)",Danny Mitchell,1st November 2008 (13 years ago),,8th August 1986 (age 35),,
28303,unknown,196 lbs. (89 kg) at 5'11'' (1.80 m),"Los Angeles, California (United States of America)",Art Jimmerson,12th November 1993 (28 years ago),,4th August 1963 (age 58),,
28304,unknown,241 lbs. (109 kg) at 6'1'' (1.85 m),"Mossoró, Rio Grande do Norte (Brazil)",Assuerio Silva,7th July 1997 (24 years ago),,18th June 1974 (age 47),,
28305,unknown,,,Ben Earwood,5th December 1998 (23 years ago),,,,169 lbs. (77 kg)
28306,unknown,154 lbs. (70 kg) at 5'10'' (1.78 m),"Brisbane, Queensland (Australia)",Ben Wall,1st October 2010 (11 years ago),,25th March 1989 (age 32),,
28307,unknown,155 lbs. (70 kg) at 5'10'' (1.78 m),California (United States of America),Beneil Dariush,20th October 2009 (12 years ago),,6th May 1989 (age 32),,
28309,unknown,200 lbs. (91 kg) at 6'3'' (1.91 m),"Prince George, British Columbia (Canada)",Bill Mahood,18th March 2000 (22 years ago),,1st February 1967 (age 55),,
28310,unknown,210 lbs. (95 kg) at 6'3'' (1.91 m),United States of America,Bob Gilstrap,11th January 1997 (25 years ago),,1974,,
28311,unknown,170 lbs. (77 kg) at 5'9'' (1.75 m),"Fresno, California (United States of America)",Bob Cook,4th September 1998 (23 years ago),,,,
28312,unknown,245 lbs. (111 kg) at 6'2'' (1.88 m),Iowa (United States of America),Bobby Hoffman,20th February 1998 (24 years ago),,28th October 1966 (age 55),,
28313,unknown,170 lbs. (77 kg) at 5'11'' (1.80 m),"Littleton, Colorado (United States of America)",Brad Gumm,6th February 1999 (23 years ago),,,,
28314,unknown,230 lbs. (104 kg) at 6'3'' (1.91 m),Ohio (United States of America),Branden Lee Hinkle,23rd August 1998 (23 years ago),,29th July 1973 (age 48),,
28315,unknown,170 lbs. (77 kg) at 5'10'' (1.78 m),"Bountiful, Utah (United States of America)",Brandon Melendez,7th December 2002 (19 years ago),,24th March 1983 (age 38),,
28316,unknown,214 lbs. (97 kg) at 5'8'' (1.73 m),,Tom Hagen,1986,,,,
28317,Brian Gassaway,170 lbs. (77 kg) at 6'1'' (1.85 m),"Chicago, Illinois (United States of America)",Brian Gassaway,23rd August 1996 (25 years ago),,7th August 1972,16th October 2021,
28318,unknown,155 lbs. (70 kg) at 5'7'' (1.70 m),Wisconsin (United States of America),Brian Geraghty,23rd August 2000 (21 years ago),,4th November 1980 (age 41),,
28319,unknown,,Germany,Freddie Koch,,,,,232 lbs. (105 kg)
28320,unknown,185 lbs. (84 kg) at 6'1'' (1.85 m),"Omaha, Nebraska (United States of America)",Brian Houston,13th April 2012 (9 years ago),,,,
