,Date,Match,Promotion,Event,Rating,# of teams,Team Size,PPV,Wrestler 1,Wrestler 2,Wrestler 3,Wrestler 4,Wrestler 5,Wrestler 6,Wrestler 7,Wrestler 8,Wrestler 9,Wrestler 10,Wrestler 11,Wrestler 12
111,"April 9, 2017",Kazuchika Okada vs. Katsuyori Shibata,NJPW,Sakura Genesis,5,2,1,FALSE,Kazuchika Okada,Katsuyori Shibata,,,,,,,,,,
112,"June 3, 2017",Kushida vs. Will Ospreay,NJPW,Best of the Super JuniorsNight 14,5,2,1,TRUE,Kushida,Will Ospreay,,,,,,,,,,
113,"June 11, 2017",Kazuchika Okada vs. Kenny Omega,NJPW,Dominion 6.11 in Osaka-jo Hall,6.25,2,1,TRUE,Kazuchika Okada,Kenny Omega,,,,,,,,,,
114,"August 11, 2017",Hiroshi Tanahashi vs. Tetsuya Naito,NJPW,G1 Climax 27Night 17,5,2,1,TRUE,Hiroshi Tanahashi,Tetsuya Naito,,,,,,,,,,
115,"August 12, 2017",Kazuchika Okada vs. Kenny Omega,NJPW,G1 Climax 27Night 18,6,2,1,TRUE,Kazuchika Okada,Kenny Omega,,,,,,,,,,
116,"August 13, 2017",Tetsuya Naito vs. Kenny Omega,NJPW,G1 Climax 27 Final,5.75,2,1,TRUE,Tetsuya Naito,Kenny Omega,,,,,,,,,,
117,"September 3, 2017",Donovan Dijak vs. Keith Lee,PWG,Battle of Los AngelesNight 3,5,2,1,TRUE,Donovan Dijak,Keith Lee,,,,,,,,,,
118,"October 21, 2017",Walter vs. Zack Sabre Jr.,PWG,All Star Weekend 13Night 2,5,2,1,TRUE,Walter,Zack Sabre Jr.,,,,,,,,,,
119,"January 4, 2018",Kenny Omega vs. Chris Jericho,NJPW,Wrestle Kingdom 12,5,2,1,FALSE,Kenny Omega,Chris Jericho,,,,,,,,,,
120,"January 27, 2018","Andrade ""Cien"" Almas vs. Johnny Gargano",WWE,NXT TakeOver: Philadelphia,5,2,1,FALSE,"Andrade ""Cien"" Almas",Johnny Gargano,,,,,,,,,,
121,"March 25, 2018",Golden Lovers (Kenny Omega and Kota Ibushi) vs. The Young Bucks (Matt Jackson and Nick Jackson),NJPW,Strong Style Evolved,5,2,2,FALSE,Kenny Omega,Kota Ibushi,Matt Jackson,Nick Jackson,,,,,,,,
122,"April 1, 2018",Will Ospreay vs. Marty Scurll,NJPW,Sakura Genesis,5,2,1,FALSE,Will Ospreay,Marty Scurll,,,,,,,,,,
123,"April 7, 2018",Adam Cole vs. EC3 vs. Killian Dain vs. Lars Sullivan vs. Ricochet vs. Velveteen Dream,WWE,NXT TakeOver: New Orleans,5,6,1,FALSE,Adam Cole,EC3,Killian Dain,Lars Sullivan,Ricochet,Velveteen Dream,,,,,,
124,"April 7, 2018",Johnny Gargano vs. Tommaso Ciampa,WWE,NXT TakeOver: New Orleans,5,2,1,FALSE,Johnny Gargano,Tommaso Ciampa,,,,,,,,,,
125,"April 14, 2018",A-Kid vs. Zack Sabre Jr.,La Triple W,Total Rumble 8,5,2,1,FALSE,A-Kid,Zack Sabre Jr.,,,,,,,,,,
126,"May 4, 2018",Kazuchika Okada vs. Hiroshi Tanahashi,NJPW,Wrestling Dontaku,5.5,2,1,FALSE,Kazuchika Okada,Hiroshi Tanahashi,,,,,,,,,,
127,"June 4, 2018",Taiji Ishimori vs. Hiromu Takahashi,NJPW,Best of the Super Juniors Final,5.5,2,1,FALSE,Taiji Ishimori,Hiromu Takahashi,,,,,,,,,,
128,"June 9, 2018",Kazuchika Okada vs. Kenny Omega,NJPW,Dominion 6.9 in Osaka-jo Hall,7,2,1,FALSE,Kazuchika Okada,Kenny Omega,,,,,,,,,,
129,"July 11, 2018",Moustache Mountain (Trent Seven and Tyler Bate) vs. The Undisputed Era (Kyle O'Reilly and Roderick Strong),WWE,NXT,5,2,2,FALSE,Trent Seven,Tyler Bate,Kyle O'Reilly,Roderick Strong,,,,,,,,
130,"July 15, 2018",Kenny Omega vs. Tetsuya Naito,NJPW,G1 Climax 28Night 2,5,2,1,TRUE,Kenny Omega,Tetsuya Naito,,,,,,,,,,
131,"July 19, 2018",Hirooki Goto vs. Kenny Omega,NJPW,G1 Climax 28Night 4,5,2,1,TRUE,Hirooki Goto,Kenny Omega,,,,,,,,,,
132,"July 21, 2018",Hirooki Goto vs. Tomohiro Ishii,NJPW,G1 Climax 28Night 6,5,2,1,TRUE,Hirooki Goto,Tomohiro Ishii,,,,,,,,,,
133,"August 4, 2018",Kenny Omega vs. Tomohiro Ishii,NJPW,G1 Climax 28Night 14,5.5,2,1,TRUE,Kenny Omega,Tomohiro Ishii,,,,,,,,,,
134,"August 10, 2018",Hiroshi Tanahashi vs. Kazuchika Okada,NJPW,G1 Climax 28Night 17,5,2,1,TRUE,Hiroshi Tanahashi,Kazuchika Okada,,,,,,,,,,
135,"August 11, 2018",Kenny Omega vs. Kota Ibushi,NJPW,G1 Climax 28Night 18,5.5,2,1,TRUE,Kenny Omega,Kota Ibushi,,,,,,,,,,
136,"August 12, 2018",Hiroshi Tanahashi vs. Kota Ibushi,NJPW,G1 Climax 28 Final,5.75,2,1,TRUE,Hiroshi Tanahashi,Kota Ibushi,,,,,,,,,,
137,"September 23, 2018",Hiroshi Tanahashi vs. Kazuchika Okada,NJPW,Destruction in Kobe,5,2,1,FALSE,Hiroshi Tanahashi,Kazuchika Okada,,,,,,,,,,
138,"September 30, 2018",Chaos (Kazuchika Okada and Tomohiro Ishii) vs. Golden Lovers (Kenny Omega and Kota Ibushi),NJPW,Fighting Spirit Unleashed,5,2,2,FALSE,Kazuchika Okada,Tomohiro Ishii,Kenny Omega,Kota Ibushi,,,,,,,,
139,"December 15, 2018",Hiroshi Tanahashi and Will Ospreay vs. Golden Lovers (Kenny Omega and Kota Ibushi),NJPW,Road to Tokyo DomeNight 2,5,2,2,TRUE,Hiroshi Tanahashi,Will Ospreay,Kenny Omega,Kota Ibushi,,,,,,,,
140,"January 4, 2019",Kenny Omega vs. Hiroshi Tanahashi,NJPW,Wrestle Kingdom 13,5.75,2,1,FALSE,Kenny Omega,Hiroshi Tanahashi,,,,,,,,,,
141,"March 24, 2019",Kazuchika Okada vs. Sanada,NJPW,New Japan Cup Final,5,2,1,FALSE,Kazuchika Okada,Sanada,,,,,,,,,,
142,"April 5, 2019",Adam Cole vs. Johnny Gargano,WWE,NXT TakeOver: New York,5.5,2,1,FALSE,Adam Cole,Johnny Gargano,,,,,,,,,,
143,"May 23, 2019",Bandido vs. Will Ospreay,NJPW,Best of the Super JuniorsNight 8,5,2,2,TRUE,Bandido,Will Ospreay,,,,,,,,,,
144,"May 25, 2019",Cody Rhodes vs. Dustin Rhodes,AEW,Double or Nothing,5,2,1,TRUE,Cody Rhodes,Dustin Rhodes,,,,,,,,,,
145,"June 1, 2019",Johnny Gargano vs. Adam Cole,WWE,NXT TakeOver: XXV,5.25,2,1,FALSE,Johnny Gargano,Adam Cole,,,,,,,,,,
146,"June 5, 2019",Shingo Takagi vs. Will Ospreay,NJPW,Best of the Super Juniors Final,5.75,2,1,FALSE,Shingo Takagi,Will Ospreay,,,,,,,,,,
147,"June 9, 2019",Dragon Lee vs. Will Ospreay,NJPW,Dominion 6.9 in Osaka-jo Hall,5,2,1,FALSE,Dragon Lee,Will Ospreay,,,,,,,,,,
148,"July 18, 2019",Kota Ibushi vs. Will Ospreay,NJPW,G1 Climax 29Night 5,5,2,1,TRUE,Kota Ibushi,Will Ospreay,,,,,,,,,,
149,"July 19, 2019",Jon Moxley vs. Tomohiro Ishii,NJPW,G1 Climax 29Night 6,5,2,1,TRUE,Jon Moxley,Tomohiro Ishii,,,,,,,,,,
150,"July 20, 2019",Kazuchika Okada vs. Will Ospreay,NJPW,G1 Climax 29Night 7,5.75,2,1,TRUE,Kazuchika Okada,Will Ospreay,,,,,,,,,,
151,"July 26, 2019","Bandido, Flamita, and Rey Horus vs. Black Taurus, Laredo Kid, and Puma King",PWG,Sixteen,5,2,4,FALSE,Bandido,Flamita,Rey Horus,Black Taurus,Laredo Kid,Puma King,,,,,,
152,"August 3, 2019",Sanada vs. Kazuchika Okada,NJPW,G1 Climax 29Night 13,5,2,1,TRUE,Sanada,Kazuchika Okada,,,,,,,,,,
153,"August 4, 2019",Tetsuya Naito vs. Shingo Takagi,NJPW,G1 Climax 29Night 14,5,2,1,TRUE,Tetsuya Naito,Shingo Takagi,,,,,,,,,,
154,"August 8, 2019",Shingo Takagi vs. Tomohiro Ishii,NJPW,G1 Climax 29Night 16,5.5,2,1,TRUE,Shingo Takagi,Tomohiro Ishii,,,,,,,,,,
155,"August 10, 2019",Kota Ibushi vs. Kazuchika Okada,NJPW,G1 Climax 29Night 17,5,2,1,TRUE,Kota Ibushi,Kazuchika Okada,,,,,,,,,,
156,"August 12, 2019",Kota Ibushi vs. Jay White,NJPW,G1 Climax 29 Finals,5.5,2,1,TRUE,Kota Ibushi,Jay White,,,,,,,,,,
